Nro.,Vehículo,Odómetro,Horómetro,Fecha,Tanqueo Full,Costo por Volumen,Cant.,Unidad,Costo Total,Tipo,
207,"104",1015529,,"11/may./2024 1:29:00","S","25,62","160","Litros","4099","DIESEL",
199,"103",758687,,"10/may./2024 23:21:00","S","25,62","166,02","Litros","4253,43","DIESEL",
206,"104",1015148,,"10/may./2024 16:55:20","S","25,29","160","Litros","4046","DIESEL",
205,"108",1127747,,"10/may./2024 13:09:37","S","25,5","103","Litros","2626","DIESEL",
204,"109",543686,,"10/may./2024 11:16:31","S","25,25","121","Litros","3055","DIESEL",
203,"109",543686,,"10/may./2024 11:10:38","S","25,31","395","Litros","9999","DIESEL",
198,"103",758225,,"10/may./2024 0:52:00","S","25,99","125,51","Litros","3262","DIESEL",
197,"108",1127457,,"09/may./2024 20:16:00","S","25,42","118","Litros","3000","DIESEL",
196,"103",757798,,"09/may./2024 19:32:00","S","25,48","225,6","Litros","5748","DIESEL",
202,"104",1014648,,"09/may./2024 17:32:00","S","25,48","160","Litros","4077","DIESEL",
201,"110",570381,,"09/may./2024 17:04:28","S","25","400","Litros","9999","DIESEL",
217,"106",444841,,"09/may./2024 10:15:22","S","25,39","96","Litros","2437","DIESEL",
194,"106",444439,,"09/may./2024 3:32:00","S","25,66","113","Litros","2900","DIESEL",
192,"108",1126953,,"08/may./2024 19:49:19","S","24,68","38","Litros","938","DIESEL",
228,"104",1014187,,"08/may./2024 18:08:00","S","24,99","160","Litros","3998,4","DIESEL",
179,"105",477981,,"08/may./2024 16:48:00","N","25,39","113,96","Litros","2893,44","DIESEL",
190,"106",443969,,"08/may./2024 15:24:00","S","23,99","96","Litros","2303","DIESEL",
189,"110",569611,,"08/may./2024 13:21:50","S","25,17","23","Litros","579","DIESEL",
188,"110",569611,,"08/may./2024 13:13:26","S","25,7","389","Litros","9999","DIESEL",
193,"103",757293,,"08/may./2024 12:04:28","S","24,59","122","Litros","3000","DIESEL",
178,"105",477607,,"07/may./2024 21:36:00","N","25,89","86,13","Litros","2230","DIESEL",
177,"103",757268,,"07/may./2024 18:01:00","N","24,48","28,6","Litros","700","DIESEL",
187,"106",443550,,"07/may./2024 17:03:25","S","25,09","121","Litros","3036","DIESEL",
185,"105",477252,,"07/may./2024 12:04:39","S","24,9","115","Litros","2864","DIESEL",
186,"106",443071,,"07/may./2024 9:34:15","S","26","100","Litros","2600","DIESEL",
184,"108",1126848,,"07/may./2024 3:37:28","S","24,99","137","Litros","3424","DIESEL",
183,"109",542673,,"06/may./2024 20:30:39","S","25","30","Litros","750","DIESEL",
182,"109",542673,,"06/may./2024 20:23:07","S","24,99","400","Litros","9996","DIESEL",
181,"106",442703,,"06/may./2024 18:30:21","S","25","52","Litros","1300","DIESEL",
180,"105",476674,,"06/may./2024 8:10:00","S","26,19","110","Litros","2881","DIESEL",
176,"105",476441,,"05/may./2024 20:06:00","S","24,43","131","Litros","3200","DIESEL",
171,"102",1008780,,"05/may./2024 8:15:00","S","25,58","88","Litros","2251","DIESEL",
170,"109",541853,,"04/may./2024 21:39:35","S","25","29","Litros","725","DIESEL",
169,"109",541853,,"04/may./2024 21:35:00","S","25,31","395","Litros","9999","DIESEL",
168,"108",1126339,,"04/may./2024 19:13:00","S","25,64","109","Litros","2795","DIESEL",
167,"102",1008395,,"04/may./2024 18:53:34","S","25,29","122","Litros","3085","DIESEL",
166,"105",475910,,"04/may./2024 14:20:54","S","26,42","85","Litros","2246","DIESEL",
165,"108",1125955,,"04/may./2024 12:37:05","S","25,29","119","Litros","3009","DIESEL",
164,"106",442493,,"04/may./2024 10:48:58","S","25","122","Litros","3050","DIESEL",
163,"110",568642,,"04/may./2024 10:27:02","S","24,99","400","Litros","9996","DIESEL",
104,"105",475516,,"04/may./2024 3:01:00","S","25,59","125,44","Litros","3210,17","DIESEL",
162,"108",1125562,,"03/may./2024 19:06:15","S","25,88","57","Litros","1475","DIESEL",
175,"105",475133,,"03/may./2024 16:59:09","S","24,19","136","Litros","3290","DIESEL",
161,"104",1013770,,"03/may./2024 15:01:41","S","25,39","160","Litros","4062","DIESEL",
160,"102",1007377,,"03/may./2024 7:27:54","S","25,07","121","Litros","3034","DIESEL",
103,"105",474521,,"03/may./2024 3:35:00","S","24,99","102,43","Litros","2559,65","DIESEL",
159,"109",540854,,"02/may./2024 21:34:28","S","25","35","Litros","875","DIESEL",
158,"109",540854,,"02/may./2024 21:29:37","S","25","400","Litros","9999","DIESEL",
174,"104",1013413,,"02/may./2024 21:21:24","S","25,83","94","Litros","2428","DIESEL",
157,"104",1013060,,"02/may./2024 11:54:12","S","24,99","160","Litros","3998","DIESEL",
173,"105",474103,,"01/may./2024 19:49:38","S","25,71","105","Litros","2700","DIESEL",
172,"108",1124870,,"01/may./2024 10:40:26","S","25,27","91","Litros","2300","DIESEL",
156,"105",473676,,"01/may./2024 10:26:55","S","23,24","129","Litros","2998","DIESEL",
155,"110",567869,,"01/may./2024 8:16:15","S","25,71","52","Litros","1337","DIESEL",
154,"110",567869,,"01/may./2024 8:10:50","S","25,7","389","Litros","9999","DIESEL",
153,"104",1012751,,"01/may./2024 6:05:58","S","25,89","79","Litros","2045","DIESEL",
152,"104",1012470,,"01/may./2024 0:42:00","S","25,62","160","Litros","4099","DIESEL",
151,"102",1006901,,"01/may./2024 0:34:00","S","25,58","98","Litros","2507","DIESEL",
145,"105",473213,,"30/abr./2024 19:30:45","S","25,62","97,58","Litros","2500","DIESEL",
144,"104",1012090,,"30/abr./2024 16:44:56","S","25,29","160","Litros","4046,4","DIESEL",
102,"101",1057878,,"30/abr./2024 16:10:00","S","24,99","388,67","Litros","9712,89","DIESEL",
143,"102",1006516,,"30/abr./2024 14:48:14","S","25,29","143,32","Litros","3624,56","DIESEL",
142,"108",1124509,,"30/abr./2024 14:11:00","S","25,31","13","Litros","329","DIESEL",
141,"109",540033,,"30/abr./2024 13:34:05","S","25,29","100,04","Litros","2530,01","DIESEL",
140,"109",540033,,"30/abr./2024 13:24:47","S","25,29","395,37","Litros","9999","DIESEL",
139,"105",472789,,"30/abr./2024 11:12:51","S","24,99","106,2","Litros","2653,94","DIESEL",
138,"106",441941,,"30/abr./2024 1:09:00","S","25,62","125,24","Litros","3208,73","DIESEL",
150,"108",1124497,,"29/abr./2024 18:25:00","S","24,99","113,5","Litros","2836,36","DIESEL",
137,"106",441479,,"29/abr./2024 16:35:06","S","25,99","111,59","Litros","2900,17","DIESEL",
136,"104",1011524,,"29/abr./2024 16:31:00","S","25,42","160","Litros","4067,2","DIESEL",
135,"103",756799,,"29/abr./2024 7:42:33","S","24,99","210,46","Litros","5259,4","DIESEL",
133,"102",1005965,,"28/abr./2024 22:35:00","S","25,42","147,6","Litros","3751,94","DIESEL",
134,"106",440989,,"28/abr./2024 15:47:53","S","25,62","122,95","Litros","3150","DIESEL",
100,"101",1056980,76,,"28/abr./2024 11:57:00","S","25,29","395","Litros","9989,55","DIESEL",
101,"101",1056980,76,,"28/abr./2024 0:03:00","S","25,29","59,34","Litros","1500,71","DIESEL",
132,"103",756374,,"27/abr./2024 18:43:00","S","25,62","161","Litros","4124,82","DIESEL",
131,"109",539003,,"27/abr./2024 11:34:12","S","24,99","30","Litros","749,7","DIESEL",
130,"109",539003,,"27/abr./2024 11:26:53","S","24,99","268,75","Litros","6716,06","DIESEL",
129,"106",440533,,"27/abr./2024 7:11:26","S","24,99","97,01","Litros","2424,15","DIESEL",
128,"103",755893,,"27/abr./2024 5:44:42","S","23,29","158,22","Litros","3685,04","DIESEL",
125,"110",566806,,"26/abr./2024 22:57:42","S","24,99","78,29","Litros","1956,47","DIESEL",
126,"104",1011058,,"26/abr./2024 22:56:34","S","24,99","160","Litros","3998,4","DIESEL",
124,"110",566806,,"26/abr./2024 22:46:09","S","24,99","400","Litros","9996","DIESEL",
123,"106",440125,,"26/abr./2024 19:01:03","S","25,39","119,01","Litros","3021,66","DIESEL",
122,"104",1010506,,"26/abr./2024 10:28:05","S","25,99","160","Litros","4158,4","DIESEL",
127,"103",755473,,"26/abr./2024 2:35:00","S","25,39","118,16","Litros","3000","DIESEL",
121,"107",1090039,,"26/abr./2024 2:17:16","S","25,69","147,76","Litros","3795,95","DIESEL",
120,"104",1010282,,"25/abr./2024 23:50:15","S","25,49","90,23","Litros","2300","DIESEL",
119,"106",439718,,"25/abr./2024 22:26:07","S","25,49","105,92","Litros","2700","DIESEL",
117,"109",538484,,"25/abr./2024 15:50:17","S","25,39","50","Litros","1269,5","DIESEL",
116,"109",538484,,"25/abr./2024 15:43:10","S","25,39","393,81","Litros","9999","DIESEL",
118,"103",754957,,"25/abr./2024 15:42:03","S","25,29","101,4","Litros","2564,46","DIESEL",
146,"101",1056009,,"25/abr./2024 14:23:00","S","24,99","400","Litros","9996","DIESEL",
115,"104",1009931,,"25/abr./2024 13:29:14","S","24,99","160","Litros","3998,4","DIESEL",
114,"102",1005415,,"25/abr./2024 3:17:10","S","24,99","97,9","Litros","2446,52","DIESEL",
113,"110",565991,,"25/abr./2024 1:24:45","S","25,69","80,01","Litros","2055,48","DIESEL",
112,"110",565991,,"25/abr./2024 1:18:43","S","25,69","389,22","Litros","9999","DIESEL",
109,"104",1009524,,"24/abr./2024 15:31:53","S","25,39","160","Litros","4062,4","DIESEL",
149,"105",472632,,"24/abr./2024 15:04:00","S","24,99","130","Litros","3248,7","DIESEL",
108,"102",1005009,,"24/abr./2024 14:57:40","S","25,39","105,32","Litros","2674,05","DIESEL",
107,"103",754602,,"24/abr./2024 14:54:12","S","24,99","140,36","Litros","3507,6","DIESEL",
89,"107",1089380,,"24/abr./2024 14:04:00","S","24,99","65,65","Litros","1640,59","DIESEL",
